product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,is_emergency,status,image_url,product_url,created_at,updated_at
,Archies Spiral Corporate Teamwork Single Line Notebook (160 Pages) : 1 Unit,,,Books & Stationery,book,249.0,249.0,70.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/archies-spiral-corporate-teamwork-single-line-notebook-(160-pages)-pnotebooks0arch51xx280624?selectedProd=1590086,,,0.0,False,False
,Anupam My Impression Ruled A5 Notebook - 256 Pages : 1 Unit,,,Books & Stationery,book,390.0,390.0,191.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/my-impression-notebookanupam-pnotebooks0019xx160921?selectedProd=842017,,,0.0,False,False
,Archies Spiral Corporate All Of Us Single Line Notebook (160 Pages) : 1 Unit,,,Books & Stationery,book,249.0,249.0,70.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/archies-spiral-corporate-all-of-us-single-line-notebook-(160-pages)-pnotebooks0arch53xx280624?selectedProd=1590087,,,0.0,False,False
,Craft Play A5 Leather Diary With Wooden Lock (Blue) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-leather-diary-with-wooden-lock---blue-pnotebooks0craf15xx141222?selectedProd=1174515,,,0.0,False,False
,Craft Play Brave Print A5 Handmade Notebook (144 Pages) : 1 Unit,,,Books & Stationery,book,650.0,650.0,351.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-brave-print-a5-handmade-notebook-pnotebooks0craf21xx141021?selectedProd=914539,,,0.0,False,False
,ITC Classmate Longbook Set (3 Pieces) - 172 Pages : 1 Unit,,,Books & Stationery,book,180.0,180.0,36.0,0.0,,48.0,0.0,,,https://www.dmart.in/product/itc-longbook-set-:-3-pieces-pnotebooks0clas3xx20419?selectedProd=469002,,,0.0,False,False
,Craft Play Echo Print A5 Handmade Notebook - 144 Pages : 1 Unit,,,Books & Stationery,book,650.0,650.0,351.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-echo-print-a5-handmade-notebook-pnotebooks0craf17xx141021?selectedProd=914537,,,0.0,False,False
,Luxor 5 Subject Note Book A5 Single Ruled - 240 Pages : 14x21.6 cm,,,Books & Stationery,book,180.0,180.0,31.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/luxor-5-subject-note-book-a5-single-ruled-240-pages-pnotebooks0luxo17xx280524?selectedProd=1573097,,,0.0,False,False
,Craft Play A5 Leather Diary With Wooden Lock (Green) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-leather-diary-with-wooden-lock---green-pnotebooks0craf13xx141222?selectedProd=1174514,,,0.0,False,False
,Craft Play A5 Leather Diary With C Lock (Green) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-leather-diary-with-c-lock---green-pnotebooks0craf7xx141222?selectedProd=1174511,,,0.0,False,False
,Craft Play A5 Leather Diary With C Lock - Brown : 200 Pages,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-leather-diary-with-c-lock---brown-pnotebooks0craf5xx141222?selectedProd=1174510,,,0.0,False,False
,Craft Play A5 Leather Diary With C Lock (Blue) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-leather-diary-with-c-lock---blue-pnotebooks0craf9xx141222?selectedProd=1174512,,,0.0,False,False
,Craft Play A5 Leather Diary With Wooden Lock (Brown) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-leather-diary-with-wooden-lock---brown-pnotebooks0craf11xx141222?selectedProd=1174513,,,0.0,False,False
,Craft Play A5 Zigzag Leather Diary With C Lock (Green) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,350.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-zigzag-leather-diary-with-c-lock---green-pnotebooks0craf19xx141222?selectedProd=1174517,,,0.0,False,False
,Craft Play A5 Zigzag Leather Diary With C Lock (Brown) - 200 Pages : 1 Unit,,,Uncategorized,,699.0,699.0,250.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/craft-play-a5-zigzag-leather-diary-with-c-lock---brown-pnotebooks0craf17xx141222?selectedProd=1174516,,,0.0,False,False
,Pidilite Fevicol MR White - General Purpose Glue : 100 gms,,,Uncategorized,,60.0,60.0,6.0,0.0,,0.54,0.0,,,https://www.dmart.in/product/pidilite-fevicol-mr-white---general-purpose-glue-padhesives0pidi49xx270120?selectedProd=654502,,,0.0,False,False
,Sapna Brown Tape - 48 mm X 50 Metres : 1 Unit,,,Uncategorized,,75.0,75.0,20.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/sapna-brown-tape---48-x-50-meters-pscholacces0sapn9xx60821?selectedProd=866253,,,0.0,False,False
,Pidilite Fevicol Mr White - General Purpose Glue : 200 gms,,,Uncategorized,,100.0,100.0,11.0,0.0,,0.45,0.0,,,https://www.dmart.in/product/pidilite-fevicol-mr-white---general-purpose-glue-padhesives0pidi7xx280220?selectedProd=673029,,,0.0,False,False
,Pidilite Fevicol Allfix - All Purpose Adhesive : 20 ml,,,Uncategorized,,50.0,50.0,5.0,0.0,,2.25,0.0,,,https://www.dmart.in/product/pidilite-fevicol-allfix---all-purpose-adhesive-padhesives0pidi47xx270120?selectedProd=659506,,,0.0,False,False
,Sapna Transparent Tape - 24 X 50 Meters : 1 Unit,,,Uncategorized,,45.0,45.0,20.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/sapna-transparent-tape---24-x-50-meters-pscholacces0sapn11xx60821?selectedProd=866254,,,0.0,False,False
,Sapna Transparent Tape - 48 mm X 50 Metres : 1 Unit,,,Uncategorized,,75.0,75.0,26.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/sapna-transparent-tape---24-x-50-meters-pscholacces0sapn11xx60821?selectedProd=866252,,,0.0,False,False
,Pidilite Fevi Kwik - Instant Adhesive : 3 gms,,,Uncategorized,,30.0,30.0,3.0,0.0,,9.0,0.0,,,https://www.dmart.in/product/pidilite-fevikwik---instant-adhesive-padhesives0pidi45xx270120?selectedProd=659505,,,0.0,False,False
,Pidilite M-Seal Fast Curing Epoxy Compound : 90 gms,,,Uncategorized,,30.0,30.0,1.0,0.0,,0.32,0.0,,,https://www.dmart.in/product/pidilite-m-seal-fast-curing-epoxy-compound-padhesives0pidi1xx280220?selectedProd=673027,,,0.0,False,False
,Pidilite Rangeela Paper Glitter - 6 Shades : 30 ml,,,Uncategorized,,40.0,40.0,1.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/pidilite-rangeela-paper-glitter---6-shades-padhesives0pidi9xx280220?selectedProd=673030,,,0.0,False,False
,Camel Wax Crayons : 24 Shades,,,Uncategorized,,70.0,70.0,9.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camel-wax-crayons---24-shades-pdrawingaccessories1ucml11xx90518?selectedProd=298501,,,0.0,False,False
,Tru Note Jumbo Colouring Book - 120 Pages : 1 Unit,,,Books & Stationery,book,150.0,150.0,75.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/trunote-jumbo-colouring-book-pdrwaccs0trun7xx14419?selectedProd=468501,,,0.0,False,False
,Jade Drawing Book - (36 Pages) : 1 Unit,,,Books & Stationery,book,85.0,85.0,18.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/jade-drawing-book---36-pages-pdrawingjad51xx10518?selectedProd=301031,,,0.0,False,False
,Faber-Castell Connector Pen : 1 Unit,,,Uncategorized,,150.0,150.0,41.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/faber-castell-connector-pen-25-pcs-pdrwaccs0fabe3xx30319?selectedProd=464502,,,0.0,False,False
,Camlin Drawing Kit Combo : 1 Unit,,,Uncategorized,,149.0,149.0,18.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camlin-drawing-kit-combo-pdrwaccs0caml11xx30319?selectedProd=464506,,,0.0,False,False
,Navneet Jumbo Colouring Book - 160 Pages : 1 unit,,,Books & Stationery,book,150.0,150.0,18.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/navneet-jumbo-colouring-book-pdrwaccs0navn21xx60821?selectedProd=842023,,,0.0,False,False
,Flair Glitter Xtra Sparkle Gel Pen : 10 Pieces,,,Uncategorized,,100.0,100.0,25.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/flair-glitter-xtra-sparkle-gel-pen-pdrwaccs0flai19xx20620?selectedProd=683008,,,0.0,False,False
,Camel Oil Pastel In Plastic Box : 50 Shades,,,Uncategorized,,230.0,230.0,28.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camel-oil-pastel-in-plastic-box-pdrwaccs0caml3xx240120?selectedProd=648041,,,0.0,False,False
,Camlin Painting Kit : 1 Unit,,,Uncategorized,,199.0,199.0,24.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camlin-painting-kit-pdrwaccs0caml1xx30319?selectedProd=464501,,,0.0,False,False
,Camlin Colour Pencil - 12 Shades : 1 Unit,,,Uncategorized,,60.0,60.0,8.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camil-colour-pencil-pdrwaccs0caml5xx230120?selectedProd=648042,,,0.0,False,False
,Camel Poster Colours - 10 ml (12 Shades) : 1 Unit,,,Uncategorized,,185.0,185.0,23.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camel-poster-colours---12-shades-pdrawingaccessories12x10mlcml9xx90518?selectedProd=298502,,,0.0,False,False
,Faber-Castell Plastic Erasable Crayons - 14 Pieces : 1 Unit,,,Uncategorized,,75.0,75.0,9.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/faber-castell-plastic-erasable-crayon-tin-12pc-pdrwaccs0fabe9xx30319?selectedProd=464505,,,0.0,False,False
,Pidilite Fevicryl Acrylic Colours Paint Sunflower Kit : 10 Shades,,,Uncategorized,,250.0,250.0,21.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/pidilite-fevicryl-acrylic-colours-paint-sunflower-kit-pdrwaccs0fevi17xx190624?selectedProd=1585625,,,0.0,False,False
,Camel Oil Pastels : 12 Shades,,,Uncategorized,,40.0,40.0,6.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/camel-artica-oil-pastel-pdrwaccs0came3xx90421?selectedProd=843076,,,0.0,False,False
,Pidilite Fevicryl Pastel Acrylic Colours Kit : 6 Shades,,,Uncategorized,,150.0,150.0,21.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/pidilite-fevicryl-pastel-acrylic-colours-kit-pdrwaccs0fevi21xx190624?selectedProd=1585627,,,0.0,False,False
,Pidilite Fevicreate Artastic India Kit : 1 Unit,,,Uncategorized,,149.0,149.0,20.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/pidilite-fevi-create-artastic-india-kits-pdrwaccs0pidi31xx221020?selectedProd=785535,,,0.0,False,False
,Pidilite Fevicryl Acrylic Colours Lilac Kit : 6 Shades,,,Uncategorized,,100.0,100.0,11.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/pidilite-fevicryl-acrylic-colours-lilac-kit-pdrwaccs0fevi19xx190624?selectedProd=1585626,,,0.0,False,False
,Pidilite Fine Art Paint Brushes (Sizes - 0+2+4+6) : Set Of 4,,,Cleaning Tools,brush,135.0,135.0,16.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/pidilite-fine-art-paint-brushes-(sizes-0246)-pdrwaccs0fevi1xx190624?selectedProd=1585617,,,0.0,False,False
,Peacock Modelling Clay : 12x16.5 gms,,,Uncategorized,,120.0,120.0,31.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/peacock-modelling-clay-pdrwaccs003xx140422?selectedProd=967094,,,0.0,False,False
