name,category,subcategory
Anjali Kitchen Express Gripper (Chakli Maker) - 12 Jalis : 1 Unit,,
Pigeon Rechargeable Zoom Chopper - 350 ml : 1 Unit,,
Pigeon Stainless Steel Knife Set : 3 Pieces,,
Crystal Electric Gas Lighter :1 Unit,,
Beezy Brass Chakli Sancha with 6 Jalis (Chakli Maker) : 1 Unit,,
Stainless Steel Masala Spice Box : 1 Unit,,
Beezy Aluminium Puri Press No.5 : 1 Unit,,
D Homes Scissor Set (Jinda) : 2 Pieces,,
Silicon Kitchen Spatula & Brush Tool : 1 Set,,
Command Clear Décor Clips : 20 Pieces,,
Bamboo Chopping Board (33 x 24 x 1.4 cm) : 1 Unit,,
Stainless Steel Grill Jali With Wooden Handle : 1 Unit,,
Command Small Wire Hooks : 3 Pieces,,
Anjali Kitchenware Utility Set Super : 3 Pieces,,
Elephant stainless steel Atta/Maida(With Joint) Chani (20 Cm) : 1 Unit,,
Nova Stainless Steel Baby Spoon Set : 6 Units,Personal Care,Baby Care
Beezy Gas Lighter Peeler & Knife : 3 Units,,
Crystal Xpress Pull N Chopper Mini : 1 Unit,,
Unistar Stainless Steel Sink Strainer : 1 Unit,,
Aluminium Cake Baking Mould - Assorted Shapes : 1 Unit,,
Indigo Metalware Plastic Soap Dispenser - Natural : 1 Unit,,
Anjali Stainless Steel Gas Trolley : 1 Unit,,
Bamboo Chopping Board (28 x 20 x 0.9 cm) : 1 Unit,,
Bamboo Chopping Board (26 x 16 x 0.9 cm) : 1 Unit,,
Gokul Stainless Steel Fancy Water Jug : 1.5 Litres,,
Veer Stainless Steel Bidding Tope Set : 3 Units,,
Om White Polpat (Roti Roller / Chakla) : 1 Unit,,
Indigo Metalware Stainless Steel Butter Dish : 250 ml,,
Beezy Adjustable Slicer - Balck : 1 Unit,,
Elephant Stainless Steel Oil Frying Strainer & Serving Tong  : 1 Unit,Grocery & Food,Pantry Essentials
Stainless Steel Cloth Clip : 1 Unit,,
Beezy Stainless Steel Ice Cream Scoop : 1 Unit,Grocery & Food,Snacks & Beverages
Elephant stainless steel Multi Purpose Fridge Basket (25 Cm) : 1 Unit,,
Stainless Steel Round Table Ring : 1 Unit,,
Anjali Coconut Scraper - Sleekmate : 1 Unit,,
Unistar Stainless Steel Heavy Accord Tea Strainer : 1 Unit,,
Crystal Stainless Steel Small Strainer : 1 Unit,,
Anjali Tadkavati Wire Handle (No. 5) : 1 Unit,,
Command Micro Hooks : 3 Pieces,,
Steel Chakali Sancha : 1 Unit,,
Wonderchef Glory Stainless Steel 6 Blade String Chopper : 900 ml,,
Princeware Maharaja Storage Plastic Basket (Pink) : 1 Unit,,
Indigo Metalware Stainless Steel Oil Funnel : 1 Unit,Grocery & Food,Pantry Essentials
D Homes 10 Pieces Egg Saver Box - Assorted : 1 Unit,,
Joyo Knit Masala Box - Brown : 1 Unit,,
Crystal Stainless Steel Fine Grater : 1 Unit,,
Joyo Cooking Oil Dispenser : 1 Litre,Grocery & Food,Pantry Essentials
Anjali Manual Hand Juicer Ras Dhara : 1 Unit,,
Indigo Metalware Multi Use Stainless Steel Fruit & Vegetable Basket : 1 Unit,,
Beezy Mug Jumbo 400Ml With Lid - Red : 1 unit,,
Indigo Metalware Marble Pestel (khalbatta)  : 1 Unit,,
Scotch Multi-purpose Scissors : 1 Unit,,
Femora Borosilicate Glass Oil Dispenser With Stainless Steel Lid : 500 ml,Grocery & Food,Pantry Essentials
Crystal Stainless Steel Pizza Cutter : 1 Unit,,
Bergner Renberg Knife Set (Black) - 6 Pieces : 1 Unit,,
Indigo Metalware Stainless Steel Serving  Spoons Coper Hammered Handle : 3 Piece,,
Indigo Metalware Oregano & Chilli Flakes Dispenser - Natural : 2 Pieces,,
Priya Stainless Steel Round Kitchen 2 Step Basket Trolley : 1 Unit,,
HAZEL Cooker Separator With Lifter (2x500 ml) - Set of 2 Containers : 1 Unit,,
Elephant stainless steel Multi Utility Basket (25.5 X 34.5 Cm) : 1 Unit,,
Steel Puri Jhara : 1 Unit,,
Joyo Knit Masala Box - Sky Dark Grey : 1 Unit,,
Beezy Stainless Steel Pavbhaji Mesher Dlx : 1 Unit,,
Kvg Gas Cleaning Brush - Set Of 3 : 1 Unit,,
Anjali Stainless Steel Medu Wada Maker : 1 Unit,,
Command Medium Designer Hooks : 2 Pieces,,
Steel Lemon Squeezer : 1 Unit,,
Joyo Fridge Storage Tray : 1 Unit,,
Crystal Cut Peel & Slice 3 Pcs (Value Pack) : 1 Units,,
Elephant stainless steel Sink Basket (34 X 22 Cm) : 1 Unit,,
Stainless Steel Juice Strainer : 1 Unit,,
Stainless Steel Damru Glass - 320 ml : 3 Pieces,,
Elephant stainless steel Whisk (20 Cm) : 1 Unit,,
Indigo Metalware Stainless Steel Tong - UTP10 : 1 Unit,,
Anjali Knife & Peeler Set (3 Knives + 1 Peeler) : 1 Unit,,
Elephant Stainless Steel Tea Strainer Wire Handle (8.5 cm) : 1 Unit,,
Crystal 2-In-1 Lemon Squeezer Cum Opener - Assorted : 1 Unit,,
Kvg Stainless Steel Straw With Cleaning Brush Set - 5 Pieces : 1 Unit,,
Stainless Steel Multifunctional 3-In-1 Peeler : 1 Unit,,
Anjali Fantastique Deluxe Vegetable Cutter : 1 Unit,,
Crystal Sleek Chopping Board Small - Assorted : 1 Unit,,
Wonderchef Egg Boiler : 350 W,Grocery & Food,Pantry Essentials
Femora Borosilicate Glass Oil Sprayer - Blue : 200 ml,Grocery & Food,Pantry Essentials
Beezy Stainless Steel Juicy Glass Stand : 1 Unit,,
Beezy Alluminium Fruit Juicer : 1 Unit,,
Anjali Stainless Steel Puran Machine Deluxe With 5 Jali : 1 Unit,,
Small Steel Knife (08) : 1 Unit,,
D Homes Multi Tool Set - 6 Pieces : 1 Unit,,
Anjali Coconut Scraper (Premier) : 1 Unit,,
Beezy Plastic Spice Rack Set : 12 Pieces,,
Princeware Maharaja Plastic Storage Basket (Blue) : 1 Unit,,
Beezy Plastic Spice Rack Set - 16 Piece : 1 Unit,,
Indigo Metalware Nylon + Steel Serving Spoons Set (Black) - 5 Piece : 1 Unit,,
Steel Chef Knife - 6 inch : 1 Unit,,
Right Kitchen Cylinder Trolley -30.5X10X30.5 cm : 1 Unit,,
Joyo Flexi Silicone Ice Cube Rectangular Tray - Red : 1 Unit,,
Measuring Cup Set (Multicolour) - 6 Pieces : 1 Unit,,
Femora Oval Acacia Wooden Chopping Board - Natural : 1 Unit,,
Joyo Flexi Silicone Ice Cube Rectangular Tray - Blue : 1 Unit,,
Femora Rectangle Acacia Wooden Chopping Board - Natural :1 Unit,,
All Time Plastic Multipurpose Big Scoop  : 2 Pieces,,
Beezy Travelling Folding Knife - Assorted : 1 Unit,,
Priya Stainless Steel Omega 2 Shelf Plate & Cutlery Stand : 1 Unit,,
Beezy Stainless Steel Apple Cutter : 1 Unit,,
Indigo Metalware Stainless Steel Wire Pakad - Red Wire - 25 cm : 1 Unit,,
Indigo Metalware Stainless Steel Potato Masher - 24 cm : 1 Unit,,
Beezy Egg Cutter Plastic - Assorted : 1 Unit,,
Brass Bhog (Prasad) Serving Plate : 1 Unit,,
HAZEL Stainless Steel Coconut Scraper : 1 Unit,,
Indigo Metalware Stainless Steel Cocktail Shaker : 500 ml,,
Priya Stainless Steel Multipurpose Penguine Square Basket : 1 Unit,,
Amson Multipurpose Plastic Funnel (Assorted) - Set of 2 : 1 Unit,,
Femora Oil Dispenser Glass Bottle With Grey Silicone Brush : 350 ml,Grocery & Food,Pantry Essentials
Indigo Metalware Stainless Steel Serving Bucket : 350 ml,,
Stainless Steel Pav Bhaji Plate - Oval Shape : 1 Unit,,
Nova Stainless Steel Baby Fork Set : 6 Units,Personal Care,Baby Care
Priya Stainless Steel Gas Trolley With Wheels - 12 Inches : 1 Unit,,
All Time Plastic Beaute Strainer Decorative : 3 Pieces,,
Anjali Cut & Wash Chopping Board - Deluxe : 1 Unit,,
Bergner Master Pro Stainless Steel Whisk - Black : 1 Unit,,
D Homes Stainless Steel Oil Kettle : 600 ml,Grocery & Food,Pantry Essentials
All Time Easy Chopping Board - Moonlight : 1 Unit,,
Nakshatra Stainless Steel See Through Cannister : 1 Litres,,
KVG Kabab Stick - 15 cm : 50 Skewers,,
Beezy Hot Mat With Stand - Red : 1 Unit,,
Stainless Steel Round Potato Masher With Wooden Handle : 1 Unit,,
Anjali Pizza Cutter : 1 Unit,,
Right Kitchen Oven Stand - 56X46X33 cm : 1 Unit,,
Priya Stainless Steel Multipurpose Oval Dolphine Basket : 1 Unit,,
Wooden Knife (1.51mm) : 1 Unit,,
KVG Kabab Stick - 20 cm : 50 Skewers,,
D Homes Scissor Set (Xinyi) : 3 Pieces,,
All Time  Precise Measuring Spoons  Multi Colour : 6 Pieces,,
Joyo Better Home Homio Kitchen Basket : 1 Unit,,
Joyo Capsule Pop Up Ice Tray With Lid - Blue : 1 Unit,,
All Time Clubs Ice Tray - White : 1 Unit,,
Pinnacle Ice Brick - 330 ml (Blue) Set Of 2 : 1 Unit,,
Priya Stainless Steel Happy Home Plate Stand : 1 Unit,,
Karp Plastic Reusable Ice Popsicle (Kulfi Maker) - Pink : Set of 6,,
Joyo Pop Up Ice Tray Round - Blue : 1 Unit,,
Bergner Master Pro Stainless Steel Hand Grater - Silver : 1 Unit,,
Steel Knife (10) : 1 Unit,,
Femora Kitchen Storage Glass Jar With Steel Golden Lid : 700 ml,,
Indigo Metalware Stainless Steel Tong - MTS7 - 24 cm : 1 Unit,,
Karp Plastic Reusable Ice Popsicle (Kulfi Maker) - Green : Set of 6,,
Candy Plastic Ice Tray : 2 Units,,
Stainless Steel Frying Tong : 1 Unit,,
Stainless Steel Big Strainer : 1 Unit,,
Disney  Joyo Flexi Ice Candy Round - Pink : 1 Unit,,
Dr.WaterR Stainless Steel Milk Frother : 400 ml,Grocery & Food,Dairy & Eggs
Stainless Steel Gas Round Trolley : 1 Unit,,
All Time Plastic Small Chopping Mat (320x250x2 mm) : 3 Pieces,,
Bergner Master Pro Stainless Steel Pizza Cutter : 1 Unit,,
Plastic Home Made Kulfi Maker - Assorted : 1 Unit,,
All Time XO Ice Tray - Grey : 1 Unit,,
Sevenstar Cotton Kitchen Apron - Brown : 1 Unit,,
Sevenstar Cotton Kitchen Apron - Yellow : 1 Unit,,
Japa Denim Kitchen Apron - A2-717 : 1 Unit,,
Japa Denim Kitchen Apron - A4-719 : 1 Unit,,
Sevenstar Cotton Kitchen Apron - Peacock Green : 1 Unit,,
Japa Denim Kitchen Apron - A3-718 : 1 Unit,,
Sevenstar Cotton Kitchen Apron - Blue : 1 Unit,,
Japa Denim Kitchen Apron - A1-716 : 1 Unit,,
Vaa Kitchen Utility Set (Blue) - 3 Pieces : 1 Unit,,
Vaa Kitchen Utility Set (Green) - 3 Pieces : 1 Unit,,
Vaa Kitchen Utility Set (Dark Grey) - 3 Pieces : 1 Unit,,
Vaa Kitchen Utility Set (Orange) - 3 Pieces : 1 Unit,,
Vaa Kitchen Utility Set (Light Grey) - 3 Pieces : 1 Unit,,
Scotch Brite Scrub Sponge Large : 3 Units,,
Scotch Brite Scrub Pad : 5 Units,,
Reflect Scrub Pads - 7.5x10 cm : 5 Units,,
Reflect Sponge Wipe - 20x17.5 cm : 5 Units,,
Reflect Stainless Steel Scrub : 1 Unit,,
Scotch Brite Stainless Steel Scrubber + Scrub Pad Combo : 1 Unit,Grocery & Food,Dairy & Eggs
