name,category,subcategory,mrp,dmart_price,unit
Force 10 Handle Scrubber : 1 Unit,Uncategorized,,135.0,135.0,1 Unit
Gala Double Hockey Toilet Brush With Holder Stand - Grey : 1 Unit,Cleaning Tools,brush,280.0,280.0,1 Unit
Gala Super Scrub : 1 Unit,Uncategorized,,45.0,45.0,1 Unit
Scotch Brite Silver Spark Scrub Pads : 6 Units,Uncategorized,,108.0,108.0,1 Unit
Scotch-Brite Scrub Sponge 9.5x6 cm : 2 Unit,Uncategorized,,40.0,40.0,2 Unit
Reflect Sponge Scrub - 10 x 7 cm : 2 Units,Uncategorized,,50.0,50.0,2 Unit
Gebi Super Spin Mop Stainless Steel Spinner (Turquoise Blue) : 1 Unit,Cleaning Tools,mop,1499.0,1499.0,1 Unit
Gala Cloth Brush : 1 Unit,Cleaning Tools,brush,120.0,120.0,1 Unit
Gala Double Hockey Antibacterial Toilet Brush : 1 Unit,Cleaning Tools,brush,205.0,205.0,1 Unit
Gala T-mop Floor Cleaner Blue : 1 Unit,Cleaning Tools,cleaner,245.0,245.0,1 Unit
Gala Toilex Square Brush with Square Container : 1 Unit,Cleaning Tools,brush,265.0,265.0,1 Unit
Gebi Bucket Mop Handle Set (Turquoise Blue) : 1 Unit,Cleaning Tools,mop,499.0,499.0,1 Unit
Gala Stylo Sink Brush : 1 Unit,Cleaning Tools,brush,180.0,180.0,1 Unit
Gebi Bathroom & Window Wiper (Assorted) : 1 Unit,Cleaning Tools,wiper,119.0,119.0,1 Unit
Beezy 2 In 1 Soap Dispenser With Sponge Holder : 1 Unit,Uncategorized,,249.0,249.0,1 Unit
Gala Toilean Toilet Brush : 1 Unit,Cleaning Tools,brush,140.0,140.0,1 Unit
Scotch Brite Double Side Toilet Brush : 1 Unit,Cleaning Tools,brush,250.0,250.0,1 Unit
Scotch Brite Toilet Brush Round Holder : 1 Unit,Cleaning Tools,brush,300.0,300.0,1 Unit
Scotch Brite Power Scrub : 1 Unit,Uncategorized,,55.0,55.0,1 Unit
Gala Long Handle Tile Cleaner Blue : 1 Unit,Cleaning Tools,cleaner,200.0,200.0,1 Unit
Reflect Kitchen Sponge Scrubber - Set of 2 : 1 Unit,Home Decor,kitchen,40.0,40.0,1 Unit
Scotch Brite Kitchen Sink Brush : 1 Unit,Cleaning Tools,brush,160.0,160.0,1 Unit
Plastic Cleaning Brush With Handle : 1 Unit,Cleaning Tools,cleaning,165.0,165.0,1 Unit
Beezy Soap Roller - Blue : 1 Unit,Uncategorized,,249.0,249.0,1 Unit
Scotch-Brite Scrub Sponge 6x9.5 cm : 1 Unit,Uncategorized,,20.0,20.0,1 Unit
Gala Scrub Sponge Utensil Cleaner : 1 Unit,Cleaning Tools,cleaner,35.0,35.0,1 Unit
Gebi Richline Floor Wiper 110 cm Metal Handle (Turquoise Blue) : 1 Unit,Cleaning Tools,wiper,239.0,239.0,1 Unit
Scotch Brite Steel Scrub : 1 Unit,Uncategorized,,50.0,50.0,1 Unit
Gala Stainless Steel Utensil Scrubber : 6 Piece,Uncategorized,,240.0,240.0,
Scotch Brite Premium Kitchen Towel : 3 Units,Home Decor,kitchen,180.0,180.0,3 Unit
Silicone Water Bottle Cleaning Brush : 1 Unit,Cleaning Tools,cleaning,90.0,90.0,1 Unit
Scotch-Brite Scrub Net Sponge : 2 Units,Uncategorized,,90.0,90.0,2 Unit
Gala Iron Bull Scrub Pad : 1 Unit,Uncategorized,,155.0,155.0,1 Unit
Gebi Anti-Bacterial Dust Free Broom XXL (Fluorescent Green) : 1 Unit,Uncategorized,,269.0,269.0,1 Unit
Moonship Bottle Cleaning Brush : 1 Unit,Cleaning Tools,cleaning,45.0,45.0,1 Unit
Scotch Brite Antibacterial Scrub Pad : 3 Units,Uncategorized,,55.0,55.0,3 Unit
Gala Toilet & Kitchen Plunger Medium : 1 Unit,Home Decor,kitchen,80.0,80.0,1 Unit
D Homes Stainless Steel Scrubber - Set of 3 : 1 Unit,Uncategorized,,40.0,40.0,1 Unit
Scotch-Brite Non-Scratch Scrub Sponge : 1 Unit,Uncategorized,,50.0,50.0,1 Unit
Scotch Brite Premium Toilet Brush : 1 Unit,Cleaning Tools,brush,560.0,560.0,1 Unit
Gala Stainless Steel Super Utensil Scrubber Black : 6 Piece,Uncategorized,,270.0,270.0,
Gala Nonstik Care Scrub Sponge : 1 Unit,Uncategorized,,49.0,49.0,1 Unit
Reflect Plastic Scouring Pad - Set of 4 : 1 Unit,Uncategorized,,55.0,55.0,1 Unit
Plastic Multifunctional Brush : White & Blue : 1 Unit,Cleaning Tools,brush,110.0,110.0,1 Unit
Scotch-Brite Super Strong Scrub Pad : 2 Units,Uncategorized,,95.0,95.0,2 Unit
Scotch Brite Sponge Wipe : 3 Units,Uncategorized,,230.0,230.0,1 Unit
Scotch Brite Sponge Wipes - 17.5 cm x 15 cm : 4 Wipes,Uncategorized,,260.0,260.0,1 Unit
Scotch-Brite Sponge Wipe 20x17.5 cm : 5 Wipes,Uncategorized,,380.0,380.0,1 Unit
Reflect Sponge Wipes - 20 x 17.5 cm : 3 Units,Uncategorized,,149.0,149.0,3 Unit
D Homes Microfibre Multi Purpose Cleaning Cloth : 4 Units,Cleaning Tools,cleaning,110.0,110.0,4 Unit
Gala Kitchen Sponge Wipe : 5 Wipes,Home Decor,kitchen,280.0,280.0,1 Unit
Gala Microfiber Cleaning Cloth : 4 Units,Cleaning Tools,cleaning,320.0,320.0,4 Unit
Gala Advanced Floor Cloth : 2 Units,Clothing,cloth,255.0,255.0,2 Unit
MST Big Floor Duster : 6 Units,Uncategorized,,179.0,179.0,1 Unit
Gala Sponge Wipe Set : 3 Units,Uncategorized,,190.0,190.0,1 Unit
Kitchen Napkin Pink 240 GSM - 45x45 cm : 6 Units,Lighting & Electrical,pin,200.0,200.0,1 Unit
Scotch Brite Floor Cleaning Cloth Pocha - 48x53 cm : 2 Units,Cleaning Tools,cleaning,155.0,155.0,1 Unit
Gebi Scratchy Brush With Telescopic Handle (Grey) : 1 Unit,Cleaning Tools,brush,249.0,249.0,1 Unit
Chakaachak Multipurpose Microfiber Duster - Grey & Orange : 1 Unit,Uncategorized,,349.0,349.0,
Gala Multipurpose Microfibre Cleaning Duster - Blue : 1 Unit,Cleaning Tools,cleaning,180.0,180.0,
MST Duster Monochex - Red (43x43 cm) : 6 Pieces,Uncategorized,,129.0,129.0,1 Unit
MST Duster Monochex Set - Maroon : 6 Units,Uncategorized,,129.0,129.0,1 Unit
MST Duster Monochex - Blue (43x43 cm) : 6 Pieces,Uncategorized,,129.0,129.0,1 Unit
Scotch Brite Microfiber Kitchen Wipe : 1 Wipe,Home Decor,kitchen,199.0,199.0,
Scotch Brite Micro Fiber Wipe : 4 Units,Uncategorized,,550.0,550.0,4 Unit
Glass Cloth Towel White 220 GSM - 58x58 cm : 3 Units,Clothing,cloth,150.0,150.0,1 Unit
Gebi 655 Deluxe Multi Broom Telescopic Handle (Blue) : 1 Unit,Uncategorized,,299.0,299.0,1 Unit
Gebi Multipurpose Microfiber Pocha Cloth (White) : 1 Unit,Clothing,cloth,125.0,125.0,1 Unit
Gebi Push Broom With 120 cm Metal Handle (Turquoise Blue & Grey) : 1 Unit,Uncategorized,,349.0,349.0,1 Unit
Gala Actifiber Sponge Cloth : 3 Pieces,Clothing,cloth,259.0,259.0,3 pc
Scotch Brite Sponge Wipes - 17.5 cm x 15 cm : 2 Wipes,Uncategorized,,120.0,120.0,1 Unit
