name,category,subcategory,mrp,dmart_price,unit
Butterfly Wave Stainless Steel Glass Top Gas Stove : 3 Burners,Uncategorized,,9120.0,9120.0,
Glen Glass Top LPG Stove 1030 Brass Burner - Black : 3 Burner,Uncategorized,,7495.0,7495.0,
Glen Stainless Steel LPG Stove 1020 Brass Burner - Silver : 2 Burner,Uncategorized,,4595.0,4595.0,
Wonderchef Duralife Slim Glass Cooktop : 3 Burners,Uncategorized,,8000.0,8000.0,
Glen Glass Top LPG Gas Stove 1022 XL Brass Burner - Black : 2 Burner,Uncategorized,,6395.0,6395.0,
Wonderchef Crescent Electric Kettle (1350 W) - 1.5 L : 1 Unit,Uncategorized,,1600.0,1600.0,
Prestige PKOSS Kettle : 1.5 Litres,Uncategorized,,1445.0,1445.0,
Borosil Rio Kettle (1350 W) -  1.5 L : 1 Unit,Uncategorized,,1440.0,1440.0,
Jaipan Stainless Steel Electric Kettle : 1.8 L,Uncategorized,,1895.0,1895.0,
Pigeon Hot Kettle (Silver & Black) - 1.5 Litres : 1300 W,Uncategorized,,1045.0,1045.0,
Kent Elegant Electric Glass Kettle (116052) : 1.8 L,Uncategorized,,2000.0,2000.0,
Nouvetta Electric Smart Kettle - 1500 W (Red) 1.8 L : 1 Unit,Uncategorized,,1695.0,1695.0,
Nouvetta Electric Smart Kettle - 1500 W (Black) 1.8 L : 1 Unit,Uncategorized,,1695.0,1695.0,
Kent Gold Optima Water Purifier (11016) : 10 L,Uncategorized,,2000.0,2000.0,
Kent Gold Storage Water Purifier (11014) : 20 L,Home Utility & Organisers,storage,3400.0,3400.0,
Agaro Grand Egg And Poacher Boiler - 500 W : 1 Unit,Uncategorized,,2199.0,2199.0,1 Unit
Philips Hair Dryer HP8142 : 1000 W,Personal Care & Beauty,hair,995.0,995.0,
Vega 3 In 1 Hair Styler - VHSCC01 : 1 Unit,Personal Care & Beauty,hair,1999.0,1999.0,1 Unit
Caresmith Bloom Face & Body Hair Trimmer - Green :1 Unit,Personal Care & Beauty,hair,2300.0,2300.0,1 Unit
Caresmith Revive Electric Head Massager -Green :1 Unit,Uncategorized,,4200.0,4200.0,1 Unit
Vega Power Series P-1 Beard Trimmer ( VHTH-25 ) Green : 1 Unit,Uncategorized,,999.0,999.0,1 Unit
Caresmith Charge X Percussion Massage Gun -Black :1 Unit,Uncategorized,,5400.0,5400.0,1 Unit
