product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,status,image_url,product_url,created_at,updated_at
,,,,Uncategorized,,210.0,210.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1670.0,1670.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,440.0,440.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,179.0,179.0,,,3 pc,,,False,,,,,,0.0
,,,,Uncategorized,,85.0,85.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,199.0,199.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,155.0,155.0,,,4 pc,,,False,,,,,,0.0
,,,,Uncategorized,,49.0,49.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,145.0,145.0,,,1 Unit,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaning,149.0,149.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,100.0,100.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,380.0,380.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,225.0,225.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1800.0,1800.0,,,,,,False,,,,,,0.0
,,,,Pet Supplies,cat,385.0,385.0,,,200 ml,,,False,,,,,,0.0
,,,,Uncategorized,,499.0,499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1388.0,1388.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,755.0,755.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,77.0,77.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,555.0,555.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,345.0,345.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Utility & Organisers,rack,1040.0,1040.0,,,,,,False,,,,,,0.0
,,,,Home Utility & Organisers,storage,518.0,518.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Utility & Organisers,rack,1290.0,1290.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,759.0,759.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,135.0,135.0,,,1 Unit,,,False,,,,,,0.0
,,,,Bags & Accessories,trolley,280.0,280.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,flex,349.0,349.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,80.0,80.0,,,,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,600.0,600.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,flex,349.0,349.0,,,,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,550.0,550.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,120.0,120.0,,,2 pc,,,False,,,,,,0.0
,,,,Uncategorized,,99.0,99.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2250.0,2250.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,119.0,119.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,149.0,149.0,,,1 Unit,,,False,,,,,,0.0
,,,,Gardening,pot,198.0,198.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,149.0,149.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,100.0,100.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,249.0,249.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,248.0,248.0,,,500 ml,,,False,,,,,,0.0
,,,,Uncategorized,,1200.0,1200.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,80.0,80.0,,,,,,False,,,,,,0.0
,,,,Cleaning Tools,brush,420.0,420.0,,,350 ml,,,False,,,,,,0.0
,,,,Uncategorized,,198.0,198.0,,,350 ml,,,False,,,,,,0.0
,,,,Uncategorized,,190.0,190.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,149.0,149.0,,,6 Unit,,,False,,,,,,0.0
,,,,Bags & Accessories,trolley,1375.0,1375.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Decor,decor,148.0,148.0,,,3 pc,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,465.0,465.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,495.0,495.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,245.0,245.0,,,600 ml,,,False,,,,,,0.0
,,,,Lighting & Electrical,light,295.0,295.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,250.0,250.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,65.0,65.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,210.0,210.0,,,1 Unit,,,False,,,,,,0.0
,,,,Gardening,pot,99.0,99.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,55.0,55.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Decor,kitchen,1652.0,1652.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1200.0,1200.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,155.0,155.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,75.0,75.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,170.0,170.0,,,3 pc,,,False,,,,,,0.0
,,,,Uncategorized,,90.0,90.0,,,6 pc,,,False,,,,,,0.0
