Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
The Face Shop Foaming Cleanser Lemon & Grapefruit : 100 ml,Uncategorized,,365.0,365.0,215.0,100 ml,1.5,./personalcarebeauty_files/JUL140005767xx10JUL24_5_P.jpg,False
Clensta Red Aloe Vera Oil Control Face Wash : 100 ml,Uncategorized,,249.0,249.0,139.0,100 ml,1.1,./personalcarebeauty_files/MAY140005641xx13MAY24_5_P.jpg,False
Neutrogena Deep Clean Gentle Foaming Cleanser : 50 g,Uncategorized,,185.0,185.0,37.0,50 g,2.96,./personalcarebeauty_files/JUL140005748xx4JUL24_5_P.jpg,False
Cetaphil Moisturising Lotion : 500ml,Uncategorized,,1599.0,1599.0,400.0,500 ml,2.4,./personalcarebeauty_files/MAR210000689xx5MAR24_5_P.jpg,False
Pond's Super Light Gel Oil Fresh Moisturiser : 200 ml,Lighting & Electrical,light,499.0,499.0,250.0,200 ml,1.25,./personalcarebeauty_files/FEB140004797xx29FEB24_5_P.jpg,False
Cetaphil Moisturising Cream : 80 gms,Uncategorized,,599.0,599.0,152.0,80 g,5.59,./personalcarebeauty_files/OCT140004356xx14OCT22_5_P.jpg,False
Pond's Light Non-Oily Moisturiser Skin Cream : 200 ml,Lighting & Electrical,light,449.0,449.0,225.0,200 ml,1.12,./personalcarebeauty_files/FEB140004221xx29FEB24_5_P.jpg,False
Lakme Peach Milk Soft Creme : 200 gms,Uncategorized,,499.0,499.0,249.0,200 g,1.25,./personalcarebeauty_files/FEB140002224xx29FEB24_5_P.jpg,False
Vicco Turmeric Skin Cream : 70 gms,Uncategorized,,275.0,275.0,20.0,70 g,3.64,./personalcarebeauty_files/DEC140000622xx14DEC21_5_P.jpg,False
Pond's Super Light Skin Gel : 98 gms,Lighting & Electrical,light,259.0,259.0,70.0,98 g,1.93,./personalcarebeauty_files/FEB140004220xx29FEB24_5_P.jpg,False
Pond's Cold Cream : 55 ml,Uncategorized,,114.0,114.0,9.0,55 ml,1.91,./personalcarebeauty_files/LSKINPROT55mlPond12xx140521_5_P.jpg,False
Nivea Soft Berry Blossom Moisturiser Creme : 200 ml,Uncategorized,,449.0,449.0,134.0,200 ml,1.57,./personalcarebeauty_files/APR140001333xx24APR24_5_P.jpg,False
Pilgrim Squalane Glow Moisturizer : 50 gm,Uncategorized,,550.0,550.0,275.0,50 g,5.5,./personalcarebeauty_files/APR140005453xx15APR24_5_P.jpg,False
Lakme Peach Milk Moisturiser : 120 ml,Uncategorized,,274.0,274.0,49.0,120 ml,1.88,./personalcarebeauty_files/KSKINPROTECT120mlLKM23xx140521_5_P.jpg,False
Cetaphil Brightening Night Comfort Cream : 50 gms,Uncategorized,,1199.0,1199.0,300.0,50 g,17.98,./personalcarebeauty_files/FEB140004522xx6FEB23_5_P.jpg,False
Cetaphil Brightening Day Protection Cream SPF 15 : 50 gms,Uncategorized,,1199.0,1199.0,300.0,50 g,17.98,./personalcarebeauty_files/FEB140004521xx6FEB23_5_P.jpg,False
Emami Fair And Handsome Cream For Men : 60 gms,Clothing,men,175.0,175.0,20.0,60 g,2.58,./personalcarebeauty_files/JUN140001256xx21JUN24_5_P.jpg,False
Neutrogena Ultra Sheer Dry Touch Sunblock SPF 50+ : 80 gms,Uncategorized,,780.0,780.0,203.0,80 g,7.21,./personalcarebeauty_files/APR140004133xx26APR22_5_P.jpg,False
Pond's White Beauty BB Fairness Cream 01 Original : 18 gms,Personal Care & Beauty,beauty,165.0,165.0,11.0,18 g,8.56,./personalcarebeauty_files/FEB140000612xx29FEB24_5_P.jpg,False
Glow & Lovely Ayurvedic Care Cream : 50 gms,Uncategorized,,160.0,160.0,35.0,50 g,2.5,./personalcarebeauty_files/AUG140003247xx26AUG24_5_P.jpg,False
The Face Shop Rice Ceramide Moisturizing Cream : 50 Ml,Uncategorized,,1040.0,1040.0,468.0,50 ml,11.44,./personalcarebeauty_files/DEC140005373xx27DEC23_5_P.jpg,False
Nivea Soft Peach Moisturizing Skin Cream : 200 ml,Uncategorized,,449.0,449.0,200.0,200 ml,1.25,./personalcarebeauty_files/NOV140004305xx30NOV22_5_P.jpg,False
Garnier Bright Complete Serum Cream : 45 gms,Uncategorized,,189.0,189.0,3.0,45 g,4.13,./personalcarebeauty_files/JAN140001994xx19JAN23_5_P.jpg,False
Mamaearth Ubtan Nourishing Cold Cream : 200 gms,Uncategorized,,349.0,349.0,175.0,200 g,0.87,./personalcarebeauty_files/NOV140003650xx8NOV21_5_P.jpg,False
Lotus Herbals Youthrx Anti Ageing Transforming Creme : 50 gms,Uncategorized,,755.0,755.0,265.0,50 g,9.8,./personalcarebeauty_files/JUN140003440xx24JUN22_5_P.jpg,False
The Face Shop Rice Ceramide Moisturizing Emulsion : 150 Ml,Uncategorized,,990.0,990.0,495.0,150 ml,3.3,./personalcarebeauty_files/DEC140005372xx27DEC23_5_P.jpg,False
Dot & Key Vitamin C + E Super Bright Moisturizer : 60 ml,Uncategorized,,495.0,495.0,174.0,60 ml,5.35,./personalcarebeauty_files/OCT140005238xx12OCT23_5_P.jpg,False
Cetaphil Optimal Hydration Daily Cream : 50 gm,Uncategorized,,1250.0,1250.0,313.0,50 g,18.74,./personalcarebeauty_files/MAR140005499xx5MAR24_5_P.jpg,False
Lakme 9to5 Vitamin C+ Day Cream : 50 gms,Uncategorized,,409.0,409.0,144.0,50 g,5.3,./personalcarebeauty_files/APR140004206xx18APR24_5_P.jpg,False
Nivea Soft Berry Blossom Moisturising Cream : 100 ml,Uncategorized,,245.0,245.0,56.0,100 ml,1.89,./personalcarebeauty_files/APR140004776xx19APR23_5_P.jpg,False
Lotus Herbals SPF 70 Daily Multi-Function Sunblock Cream : 60 gms,Uncategorized,,695.0,695.0,278.0,60 g,6.95,./personalcarebeauty_files/JUN140000582xx24JUN22_5_P.jpg,False
Lotus Herbals Sunscreen Cream SPF 30 UVB : 100 gms,Uncategorized,,435.0,435.0,174.0,100 g,2.61,./personalcarebeauty_files/APR140000581xx19APR22_5_P.jpg,False
Lacto Calamine Oil Balance Lotion For Oily Skin : 120 ml,Uncategorized,,260.0,260.0,52.0,120 ml,1.73,./personalcarebeauty_files/FEB140001055xx1FEB22_3_P.jpg,False
Lotus Herbals Whiteglow Night Cream : 60 gms,Uncategorized,,480.0,480.0,168.0,60 g,5.2,./personalcarebeauty_files/DEC140001553xx11DEC21_5_P.jpg,False
Glow & Lovely Winter Glow Face Cream : 50 gms,Uncategorized,,150.0,150.0,20.0,50 g,2.6,./personalcarebeauty_files/FEB140002917xx29FEB24_5_P.jpg,False
Plum Rice Water & Niacinamide 2% Clear Moisture Gel Cream : 50 gms,Uncategorized,,525.0,525.0,63.0,50 g,9.24,./personalcarebeauty_files/NOV140005303xx10NOV23_5_P.jpg,False
L'Oreal Paris Revitalift Cream For Women : 50 ml,Clothing,men,999.0,999.0,200.0,50 ml,15.98,./personalcarebeauty_files/FEB140003759xx03FEB22_5_P.jpg,False
