productId,name,description,price,mrp,quantity,category,subcategory,brand,imageUrl,isAvailable,createdAt,updatedAt
P2589,Sweet Potato (Shakarkandi),Sweet Potato (Shakarkandi),77,103,500 g - 700 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.757113Z,2025-01-11T10:51:47.757113Z
P6309,Bitter Gourd (Karela),Bitter Gourd (Karela),26,33,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.758112Z,2025-01-11T10:51:47.758112Z
P4419,Potato - New Crop + Desi Tomato + Onion - 1 kg Combo,Potato - New Crop + Desi Tomato + Onion - 1 kg Combo,76,99,1 kg + 500 g + 1 kg,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.758112Z,2025-01-11T10:51:47.758112Z
P4480,Broad Beans (Sem Phali),Broad Beans (Sem Phali),17,22,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.759112Z,2025-01-11T10:51:47.759112Z
P3701,Baby Potato (Aloo),Baby Potato (Aloo),13,17,500 g,Baby Products,Baby & Toddler Toys,Johnson's Baby,/api/placeholder/200/200,true,2025-01-11T10:51:47.760116Z,2025-01-11T10:51:47.760116Z
P7558,Potato - New Crop + Hybrid Tomato + Onion - Combo,Potato - New Crop + Hybrid Tomato + Onion - Combo,77,100,1 kg + 500 g + 1 kg,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.760116Z,2025-01-11T10:51:47.760116Z
P9802,Matar Paneer Combo,Matar Paneer Combo,174,229,250 g + 200 g + 500 g + 100 g + 200 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.761111Z,2025-01-11T10:51:47.761111Z
P2549,Colocasia (Arvi),Colocasia (Arvi),34,43,250 g - 300 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.761111Z,2025-01-11T10:51:47.761111Z
P3029,Picador Chilli (Achari Mirch),Picador Chilli (Achari Mirch),21,28,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.762111Z,2025-01-11T10:51:47.762111Z
P3630,Corn Cob (Bhutta),Corn Cob (Bhutta),23,31,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.762111Z,2025-01-11T10:51:47.762111Z
P5034,Raw Turmeric (Kachhi Haldi),Raw Turmeric (Kachhi Haldi),26,33,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.763111Z,2025-01-11T10:51:47.763111Z
P8717,Baby Onion (Sirka Pyaz),Baby Onion (Sirka Pyaz),13,17,250 g,Baby Products,Baby & Toddler Toys,Johnson's Baby,/api/placeholder/200/200,true,2025-01-11T10:51:47.763111Z,2025-01-11T10:51:47.763111Z
P6231,Ivy Gourd (Kundru),Ivy Gourd (Kundru),27,37,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.764111Z,2025-01-11T10:51:47.764111Z
P0319,Tomato Soup - Combo,Tomato Soup - Combo,50,68,500 g + 500 g + 500 g -600 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.764111Z,2025-01-11T10:51:47.764111Z
P6932,Drumstick (Sahjan),Drumstick (Sahjan),47,60,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.764111Z,2025-01-11T10:51:47.764111Z
P5754,Mushroom Soup - Combo,Mushroom Soup - Combo,164,212,180 g - 200 g + 1 kg + 200 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.765111Z,2025-01-11T10:51:47.765111Z
P8938,Lotus Stem (Kamal Kakdi),Lotus Stem (Kamal Kakdi),34,47,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.766112Z,2025-01-11T10:51:47.766112Z
P8752,Detox Juice Combo,Detox Juice Combo,113,212,500 g + 200 g + 250 g - 300 g + 100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.766112Z,2025-01-11T10:51:47.766112Z
P0104,Ginger - Organically grown (Adrak),Ginger - Organically grown (Adrak),37,48,100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.767111Z,2025-01-11T10:51:47.767111Z
P9387,Broccoli,Broccoli,40,53,300 g - 400 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.767111Z,2025-01-11T10:51:47.767111Z
P5032,Coriander Bunch (Dhaniya Patta),Coriander Bunch (Dhaniya Patta),12,16,100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.768113Z,2025-01-11T10:51:47.768113Z
P7407,Green Leafy Lettuce - Hydroponically Grown,Green Leafy Lettuce - Hydroponically Grown,64,83,120 g - 150 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.769112Z,2025-01-11T10:51:47.769112Z
P3456,Baby Spinach - Hydroponically Grown,Baby Spinach - Hydroponically Grown,90,114,100 g,Baby Products,Baby & Toddler Toys,Johnson's Baby,/api/placeholder/200/200,true,2025-01-11T10:51:47.769112Z,2025-01-11T10:51:47.769112Z
P3149,Coriander (Without Roots) (Dhaniya),Coriander (Without Roots) (Dhaniya),33,100,100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.770114Z,2025-01-11T10:51:47.770114Z
P7079,Garlic - Organically grown (Lehsun),Garlic - Organically grown (Lehsun),67,93,100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.770114Z,2025-01-11T10:51:47.770114Z
P7229,"Sarso Saag Veggie Mix (Chopped Sarso, Methi & Palak)","Sarso Saag Veggie Mix (Chopped Sarso, Methi & Palak)",61,200,500 g,Grocery & Food,Fresh Fruits,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.771112Z,2025-01-11T10:51:47.771112Z
P8218,Organic Onion (Pyaz),Organic Onion (Pyaz),38,49,500 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.772114Z,2025-01-11T10:51:47.772114Z
P8264,Chilli - Organically grown (Mirch),Chilli - Organically grown (Mirch),15,20,100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.773115Z,2025-01-11T10:51:47.773115Z
P9321,Cherry Tomatoes - Hydroponically Grown,Cherry Tomatoes - Hydroponically Grown,70,95,1 unit (150 g - 200 g),Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.774120Z,2025-01-11T10:51:47.774120Z
P0955,Green Peas - Organically grown,Green Peas - Organically grown,21,28,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.775113Z,2025-01-11T10:51:47.775113Z
P1638,Tomato - Organically grown (Tamatar),Tomato - Organically grown (Tamatar),29,37,500 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.776113Z,2025-01-11T10:51:47.776113Z
P9894,Beetroot - Organically grown (Chukandar),Beetroot - Organically grown (Chukandar),12,15,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.776113Z,2025-01-11T10:51:47.776113Z
P3927,Broccoli Florets 200g,Broccoli Florets 200g,61,200,200 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.777115Z,2025-01-11T10:51:47.777115Z
